date,year,month,day,site,survey,orientation,depth,observer,transect,common_name,sizeclass,count,fish_spp,common_family,latin_family,foodweb,a,b,biomass,density
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,blue_chromis,5,20,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,36.38467354,0.333333333
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,blue_chromis,10,17,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,245.7067545,0.283333333
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,fairy_basslet,5,2,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,2.991518313,0.033333333
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,queen_triggerfish,40,1,Balistes_vetula,triggerfish,Balistidae,Planktivore,0.0398,2.88,1636.122613,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,white_margate,40,4,Haemulon_album,grunt,Haemulidae,Invertivore,0.0151,3.06,4823.258209,0.066666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,bar_jack,20,1,Caranx_ruber,jack,Carangidae,Invertivore,0.0158,2.99,122.6695505,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,black_durgon,30,4,Melichthys_niger,triggerfish,Balistidae,Planktivore,0.0257,2.94,2263.234754,0.066666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,squirrelfish,10,1,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,16.58958349,0.016666667
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,squirrelfish,20,9,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,1083.986265,0.15
19-May-23,2023,May,19,12_Mile_Center,1,North,104,GGG,1,squirrelfish,30,1,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,0.0229,2.86,384.0628239,0.016666667
