Site,File_name,Depth,Recruits_number ,Adult_coral%,Algea_cover%,Gravel%,Sponge%
Martha’s finyard,Martha’s finyard_10m_184508,10,0,0,85,0,5
Martha’s finyard,Martha’s finyard_10m_184557,10,3,10,80,0,5
Martha’s finyard,Martha’s finyard_10m_184658,10,1,5,60,10,5
Martha’s finyard,Martha’s finyard_10m_184826,10,0,0,10,85,5
Martha’s finyard,Martha’s finyard_10m_185055,10,0,0,50,45,5
Martha’s finyard,Martha’s finyard_10m_185130,10,0,5,70,5,10
Martha’s finyard,Martha’s finyard_10m_185242,10,0,0,90,0,5
Martha’s finyard,Martha’s finyard_10m_185340,10,0,2,90,5,2
Martha’s finyard,Martha’s finyard_10m_185453,10,0,0,30,70,0
Martha’s finyard,Martha’s finyard_10m_185600,10,1,15,80,5,0
Martha’s finyard,Martha’s finyard_10m_185705,10,0,5,50,50,0
Martha’s finyard,Martha’s finyard_10m_185811,10,1,5,50,20,5
Martha’s finyard,Martha’s finyard_10m_185851,10,5,5,35,5,5
Martha’s finyard,Martha’s finyard_10m_185919,10,3,0,20,0,0
Martha’s finyard,Martha’s finyard_10m_190033,10,0,2,90,10,0
Martha’s finyard,Martha’s finyard_10m_190110,10,2,15,80,5,0
Martha’s finyard,Martha’s finyard_10m_190226,10,2,0,95,5,0
Martha’s finyard,Martha’s finyard_10m_190316,10,1,30,70,10,0
Martha’s finyard,Martha’s finyard_10m_190403,10,0,0,50,0,20
Martha’s finyard,Martha’s finyard_10m_190543,10,2,10,90,0,5
Martha’s finyard,Martha’s finyard_10m_143240,10,0,5,40,30,0
Martha’s finyard,Martha’s finyard_10m_143326,10,0,2,60,5,0
Martha’s finyard,Martha’s finyard_10m_143422,10,1,10,20,10,0
Martha’s finyard,Martha’s finyard_10m_143508 (1),10,0,0,50,10,0
Martha’s finyard,Martha’s finyard_10m_143603,10,0,7,40,40,2
Martha’s finyard,Martha’s finyard_10m_143645,10,0,0,50,20,0
Martha’s finyard,Martha’s finyard_10m_143806,10,0,0,60,10,0
Martha’s finyard,Martha’s finyard_10m_143916,10,0,10,40,50,0
Martha’s finyard,Martha’s finyard_10m_144002,10,0,1,20,70,0
Martha’s finyard,Martha’s finyard_10m_144056,10,0,4,75,10,0
Martha’s finyard,Martha’s finyard_10m_144246,10,0,7,80,15,5
Martha’s finyard,Martha’s finyard_10m_144438,10,0,0,5,95,0
Martha’s finyard,Martha’s finyard_10m_144650,10,0,10,90,0,0
Martha’s finyard,Martha’s finyard_10m_144757,10,0,25,75,5,0
Martha’s finyard,Martha’s finyard_10m_144853,10,0,0,10,90,0
Martha’s finyard,Martha’s finyard_10m_145047,10,0,15,70,10,0
Martha’s finyard,Martha’s finyard_10m_145250,10,0,0,10,80,0
Martha’s finyard,Martha’s finyard_10m_145317,10,0,5,10,80,0
Martha’s finyard,Martha’s finyard_10m_145409,10,0,0,50,40,0
Martha’s finyard,Martha’s finyard_10m_145456,10,0,5,40,15,0
Martha’s finyard,Martha’s finyard_10m_145747,10,1,5,15,75,0
Martha’s finyard,Martha’s finyard_10m_145848,10,0,0,70,20,0
Martha’s finyard,Martha’s finyard_10m_145932,10,0,2,20,70,1
Martha’s finyard,Martha’s finyard_40m_134833,40,0,0,70,25,0
Martha’s finyard,Martha’s finyard_40m_134921,40,0,10,90,10,20
Martha’s finyard,Martha’s finyard_40m_135006,40,0,5,95,0,15
Martha’s finyard,Martha’s finyard_40m_135042,40,0,0,70,5,25
Martha’s finyard,Martha’s finyard_40m_135110,40,0,0,95,0,5
Martha’s finyard,Martha’s finyard_40m_135143,40,3,0,40,0,0
Martha’s finyard,Martha’s finyard_40m_135212,40,0,5,80,0,5
Martha’s finyard,Martha’s finyard_40m_135239,40,1,0,60,40,5
Martha’s finyard,Martha’s finyard_40m_135319,40,0,0,40,20,25
Martha’s finyard,Martha’s finyard_40m_135419,40,1,10,60,5,50
Martha’s finyard,Martha’s finyard_40m_135453,40,0,0,60,10,0
Martha’s finyard,Martha’s finyard_40m_135534,40,0,5,40,10,5
Martha’s finyard,Martha’s finyard_40m_135608,40,0,0,40,10,25
Martha’s finyard,Martha’s finyard_40m_135707,40,0,20,30,5,35
Martha’s finyard,Martha’s finyard_40m_135727,40,0,0,20,5,40
Martha’s finyard,Martha’s finyard_40m_135813,40,0,30,10,5,0
Martha’s finyard,Martha’s finyard_40m_135904,40,0,0,40,5,15
Martha’s finyard,Martha’s finyard_40m_135932,40,0,0,10,0,15
Martha’s finyard,Martha’s finyard_40m_140041,40,1,2,70,0,5
Martha’s finyard,Martha’s finyard_40m_140106,40,0,7,60,0,0
Martha’s finyard,Martha’s finyard_40m_140145,40,0,0,40,10,10
Martha’s finyard,Martha’s finyard_40m_140216,40,0,0,95,0,5
Martha’s finyard,Martha’s finyard_40m_140245,40,1,0,70,10,5
Martha’s finyard,Martha’s finyard_40m_140322,40,2,2,60,5,30
Martha’s finyard,Martha’s finyard_40m_140411,40,1,0,30,10,20
Martha’s finyard,Martha’s finyard_40m_140444,40,0,0,50,10,30
Martha’s finyard,Martha’s finyard_40m_140532,40,0,0,40,10,5
Martha’s finyard,Martha’s finyard_40m_140659,40,0,0,70,5,5
Martha’s finyard,Martha’s finyard_40m_140813,40,0,0,70,15,0
Martha’s finyard,Martha’s finyard_40m_140859,40,1,0,30,60,0
Martha’s finyard,Martha’s finyard_40m_141102,40,0,0,60,10,10
