site,Survey,depth,observer,transect,common_name,sizeclass,count,fish_spp,common_family,latin_family,foodweb,biomass,density
Ghost_Mountain,4,150,ADC,1,blackcap_basslet,5,118,Gramma_melacara,basslet,Grammatidae,Omnivore,69.6014075,1.966666667
Ghost_Mountain,4,150,ADC,1,sunshinefish,5,24,Chromis_insolata,damselfish,Pomacentridae,Planktivore,39.63839717,0.4
Ghost_Mountain,4,150,ADC,1,sunshinefish,10,5,Chromis_insolata,damselfish,Pomacentridae,Planktivore,67.45214026,0.083333333
Ghost_Mountain,4,150,ADC,1,longspine_squirrelfish,20,1,Holocentrus_rufus,squirrelfish,Holocentridae,Invertivore,107.0260831,0.016666667
Ghost_Mountain,4,150,ADC,1,princess_parrotfish_initial,10,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,15.84777052,0.016666667
Ghost_Mountain,4,150,ADC,1,princess_parrotfish_initial,20,2,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,258.8922539,0.033333333
Ghost_Mountain,4,150,ADC,1,yellowhead_wrasse,5,2,Halochoeres_garnoti,wrasse,Labridae,Invertivore,3.131812905,0.033333333
Ghost_Mountain,4,150,ADC,1,yellowhead_wrasse,10,7,Halochoeres_garnoti,wrasse,Labridae,Invertivore,96.62689852,0.116666667
Ghost_Mountain,4,150,ADC,1,redband_parrotfish_initial,10,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,33.05337854,0.033333333
Ghost_Mountain,4,150,ADC,1,redband_parrotfish_initial,20,2,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,293.4001583,0.033333333
Ghost_Mountain,4,150,ADC,1,blue_chromis,5,1,Chromis_cyanea,chromis,Pomacentridae,Planktivore,1.819233677,0.016666667
Ghost_Mountain,4,150,ADC,1,blue_chromis,10,5,Chromis_cyanea,chromis,Pomacentridae,Planktivore,72.26669249,0.083333333
Ghost_Mountain,4,150,ADC,1,bicolor_damselfish,10,1,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,15.13450336,0.016666667
Ghost_Mountain,4,150,ADC,1,barred_hamlet,10,1,Hypoplectrus_puella,seabasses,Serranidae,Invertivore,19.05161325,0.016666667
Ghost_Mountain,4,150,ADC,2,blackcap_basslet,5,50,Gramma_melacara,basslet,Grammatidae,Omnivore,29.49212182,0.833333333
Ghost_Mountain,4,150,ADC,2,bicolor_damselfish,5,6,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,11.27247128,0.1
Ghost_Mountain,4,150,ADC,2,bicolor_damselfish,10,5,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,75.67251678,0.083333333
Ghost_Mountain,4,150,ADC,2,longspine_squirrelfish,20,1,Holocentrus_rufus,squirrelfish,Holocentridae,Invertivore,107.0260831,0.016666667
Ghost_Mountain,4,150,ADC,2,foureye_butterflyfish,10,2,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,72.48461777,0.033333333
Ghost_Mountain,4,150,ADC,2,blue_chromis,10,2,Chromis_cyanea,chromis,Pomacentridae,Planktivore,28.906677,0.033333333
Ghost_Mountain,4,150,ADC,2,princess_parrotfish_initial,10,3,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,47.54331157,0.05
Ghost_Mountain,4,150,ADC,2,princess_parrotfish_initial,20,6,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,776.6767618,0.1
Ghost_Mountain,4,150,ADC,2,princess_parrotfish_initial,30,3,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,1326.681981,0.05
Ghost_Mountain,4,150,ADC,2,yellowhead_wrasse,5,2,Halochoeres_garnoti,wrasse,Labridae,Invertivore,3.131812905,0.033333333
Ghost_Mountain,4,150,ADC,2,yellowhead_wrasse,10,7,Halochoeres_garnoti,wrasse,Labridae,Invertivore,96.62689852,0.116666667
Ghost_Mountain,4,150,ADC,2,yellowhead_wrasse,20,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,121.6841986,0.016666667
Ghost_Mountain,4,150,ADC,2,brown_chromis,10,7,Chromis_multilineata,chromis,Pomacentridae,Planktivore,101.1733695,0.116666667
Ghost_Mountain,4,150,ADC,2,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,146.7000791,0.016666667
Ghost_Mountain,4,150,ADC,2,striped_parrotfish_initial,20,1,Scarus_iseri,parrotfish,Scaridae,Herbivore,134.204684,0.016666667
Ghost_Mountain,4,150,ADC,2,barred_hamlet,10,1,Hypoplectrus_puella,seabasses,Serranidae,Invertivore,19.05161325,0.016666667
Ghost_Mountain,4,150,ADC,2,longjaw_squirrelfish,20,1,Neoniphon_marianus,squirrelfish,Holocentridae,Invertivore,113.2688536,0.016666667
Ghost_Mountain,4,150,ADC,2,nassau_grouper,10,0,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0,0
Ghost_Mountain,4,150,ADC,1,nassau_grouper,10,0,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0,0
Ghost_Mountain,4,150,GGG,3,blue_chromis,5,1,Chromis_cyanea,chromis,Pomacentridae,Planktivore,1.819233677,0.016666667
Ghost_Mountain,4,150,GGG,3,blue_chromis,10,7,Chromis_cyanea,chromis,Pomacentridae,Planktivore,101.1733695,0.116666667
Ghost_Mountain,4,150,GGG,3,sunshinefish,5,6,Chromis_insolata,damselfish,Pomacentridae,Planktivore,9.909599294,0.1
Ghost_Mountain,4,150,GGG,3,sunshinefish,10,5,Chromis_insolata,damselfish,Pomacentridae,Planktivore,67.45214026,0.083333333
Ghost_Mountain,4,150,GGG,3,blackcap_basslet,5,42,Gramma_melacara,basslet,Grammatidae,Omnivore,24.77338233,0.7
Ghost_Mountain,4,150,GGG,3,blackcap_basslet,10,24,Gramma_melacara,basslet,Grammatidae,Omnivore,123.0724491,0.4
Ghost_Mountain,4,150,GGG,3,yellowhead_wrasse,5,3,Halochoeres_garnoti,wrasse,Labridae,Invertivore,4.697719357,0.05
Ghost_Mountain,4,150,GGG,3,yellowhead_wrasse,10,2,Halochoeres_garnoti,wrasse,Labridae,Invertivore,27.60768529,0.033333333
Ghost_Mountain,4,150,GGG,3,yellowhead_wrasse,20,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,121.6841986,0.016666667
Ghost_Mountain,4,150,GGG,3,bicolor_damselfish,5,2,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,3.757490426,0.033333333
Ghost_Mountain,4,150,GGG,3,yellowtail_snapper,30,1,Ocyurus_chrysurus,snapper,Lutjanidae,Macrocarnivore,389.9332923,0.016666667
Ghost_Mountain,4,150,GGG,3,foureye_butterflyfish,10,2,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,72.48461777,0.033333333
